iter	Passed	Remaining
0	2	205
1	4	197
2	5	189
3	7	176
4	9	176
5	11	178
6	13	177
7	15	175
8	17	172
9	18	170
10	20	168
11	22	167
12	24	166
13	26	164
14	28	162
15	30	159
16	32	157
17	34	155
18	35	153
19	37	151
20	40	152
21	42	152
22	44	150
23	46	148
24	48	146
25	50	144
26	53	145
27	55	142
28	57	140
29	59	138
30	61	136
31	63	134
32	65	132
33	67	131
34	69	129
35	71	126
36	73	124
37	75	122
38	76	120
39	78	118
40	80	116
41	81	112
42	83	110
43	85	108
44	87	106
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	92
52	102	90
53	103	88
54	105	85
55	106	83
56	108	82
57	110	80
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	66
65	126	65
66	128	63
67	130	61
68	131	59
69	133	57
70	135	55
71	137	53
72	139	51
73	141	49
74	143	47
75	144	45
76	146	43
77	148	41
78	150	40
79	152	38
80	154	36
81	156	34
82	158	32
83	159	30
84	161	28
85	163	26
86	165	24
87	167	22
88	169	20
89	171	19
90	173	17
91	175	15
92	177	13
93	179	11
94	180	9
95	182	7
96	184	5
97	186	3
98	188	1
99	189	0
