iter	Passed	Remaining
0	122	122247
1	125	62547
2	128	42641
3	131	32753
4	134	26772
5	137	22720
6	141	20011
7	143	17794
8	145	16013
9	147	14582
10	149	13415
11	151	12466
12	154	11717
13	156	11031
14	158	10412
15	160	9870
16	162	9388
17	164	8960
18	167	8648
19	169	8311
20	171	8000
21	173	7719
22	175	7460
23	177	7219
24	180	7057
25	182	6851
26	184	6658
27	186	6479
28	188	6314
29	190	6160
30	192	6013
31	197	5969
32	200	5880
33	202	5764
34	204	5646
35	206	5535
36	210	5481
37	212	5390
38	214	5295
39	216	5207
40	219	5124
41	221	5041
42	225	5021
43	227	4943
44	229	4870
45	232	4815
46	234	4746
47	235	4680
48	239	4652
49	241	4591
50	243	4534
51	245	4478
52	247	4424
53	249	4372
54	253	4352
55	255	4302
56	257	4255
57	259	4209
58	261	4166
59	263	4121
60	264	4078
61	268	4057
62	270	4016
63	272	3980
64	274	3944
65	276	3908
66	278	3874
67	282	3869
68	284	3839
69	286	3808
70	288	3777
71	290	3747
72	292	3716
73	294	3688
74	298	3680
75	300	3654
76	302	3625
77	304	3603
78	306	3575
79	308	3548
80	312	3542
81	314	3516
82	315	3482
83	317	3459
84	319	3436
85	321	3413
86	323	3389
87	326	3386
88	328	3364
89	330	3343
90	332	3323
91	334	3302
92	336	3281
93	338	3261
94	341	3252
95	343	3233
96	345	3216
97	347	3197
98	349	3178
99	351	3160
100	353	3148
101	355	3134
102	358	3119
103	360	3106
104	362	3091
105	364	3075
106	366	3062
107	371	3066
108	373	3056
109	376	3046
110	378	3032
111	380	3017
112	382	3001
113	386	3002
114	388	2987
115	390	2973
116	391	2956
117	393	2941
118	395	2927
119	397	2913
120	400	2911
121	402	2896
122	404	2883
123	406	2874
124	409	2864
125	411	2852
126	415	2857
127	417	2845
128	420	2841
129	423	2834
130	426	2831
131	432	2841
132	434	2831
133	436	2821
134	438	2810
135	440	2800
136	443	2796
137	446	2787
138	448	2778
139	450	2768
140	452	2757
141	453	2743
142	456	2732
143	458	2726
144	462	2728
145	464	2718
146	466	2708
147	468	2698
148	470	2688
149	475	2693
150	477	2683
151	479	2673
152	481	2664
153	487	2676
154	491	2682
155	494	2677
156	497	2669
157	499	2660
158	501	2651
159	505	2652
160	507	2644
161	510	2641
162	513	2636
163	515	2628
164	517	2619
165	523	2628
166	525	2619
167	527	2610
168	529	2601
169	530	2592
170	532	2583
171	537	2588
172	539	2579
173	541	2570
174	543	2561
175	545	2553
176	547	2544
177	552	2553
178	555	2546
179	557	2537
180	559	2529
181	560	2521
182	562	2513
183	567	2516
184	569	2508
185	571	2500
186	574	2496
187	576	2488
188	577	2480
189	582	2481
190	584	2476
191	586	2468
192	588	2461
193	590	2454
194	592	2447
195	597	2449
196	599	2443
197	601	2436
198	603	2428
199	605	2422
200	608	2417
201	612	2420
202	614	2414
203	617	2407
204	618	2400
205	620	2393
206	622	2385
207	626	2387
208	629	2381
209	631	2374
210	633	2367
211	634	2359
212	636	2352
213	639	2347
214	641	2341
215	643	2335
216	645	2328
217	647	2321
218	649	2314
219	650	2307
220	654	2308
221	657	2304
222	660	2300
223	662	2294
224	664	2287
225	666	2281
226	669	2280
227	671	2274
228	673	2267
229	675	2261
230	677	2254
231	679	2248
232	681	2242
233	685	2242
234	687	2236
235	689	2230
236	691	2224
237	693	2218
238	694	2212
239	698	2211
240	700	2205
241	702	2199
242	704	2193
243	706	2188
244	708	2182
245	710	2176
246	713	2175
247	715	2169
248	717	2163
249	719	2158
250	721	2153
251	723	2147
252	725	2141
253	728	2140
254	730	2135
255	732	2129
256	734	2124
257	736	2118
258	738	2113
259	740	2107
260	743	2106
261	745	2101
262	748	2096
263	750	2091
264	752	2086
265	754	2080
266	758	2081
267	760	2075
268	762	2072
269	764	2067
270	766	2061
271	768	2056
272	770	2051
273	773	2050
274	776	2046
275	778	2041
276	781	2040
277	784	2036
278	789	2039
279	791	2034
280	792	2029
281	795	2024
282	797	2019
283	798	2014
284	800	2008
285	804	2007
286	806	2002
287	808	1998
288	810	1993
289	812	1988
290	814	1983
291	816	1979
292	819	1977
293	821	1972
294	823	1967
295	825	1962
296	827	1957
297	828	1952
298	831	1948
299	834	1946
300	836	1942
301	838	1937
302	840	1932
303	842	1928
304	844	1923
305	846	1919
306	848	1915
307	850	1911
308	852	1907
309	854	1902
310	856	1898
311	858	1893
312	862	1893
313	864	1889
314	866	1885
315	868	1880
316	870	1876
317	872	1871
318	874	1867
319	878	1866
320	880	1862
321	882	1857
322	884	1854
323	886	1849
324	888	1845
325	891	1844
326	893	1839
327	895	1835
328	898	1831
329	899	1827
330	901	1822
331	903	1818
332	907	1817
333	909	1813
334	911	1809
335	913	1805
336	915	1801
337	917	1797
338	919	1793
339	922	1790
340	924	1786
341	926	1782
342	928	1777
343	929	1773
344	931	1769
345	934	1766
346	937	1764
347	940	1761
348	942	1758
349	946	1758
350	952	1761
351	960	1768
352	964	1767
353	967	1766
354	970	1764
355	974	1762
356	977	1760
357	982	1761
358	985	1759
359	998	1775
360	1004	1777
361	1007	1776
362	1013	1778
363	1015	1774
364	1018	1772
365	1021	1769
366	1024	1766
367	1029	1767
368	1032	1765
369	1034	1762
370	1037	1759
371	1043	1761
372	1046	1759
373	1049	1756
374	1052	1754
375	1058	1756
376	1061	1754
377	1064	1751
378	1067	1748
379	1070	1747
380	1074	1745
381	1077	1742
382	1080	1739
383	1083	1738
384	1089	1740
385	1093	1739
386	1098	1739
387	1103	1740
388	1105	1736
389	1108	1733
390	1110	1730
391	1113	1727
392	1118	1728
393	1122	1726
394	1127	1726
395	1130	1723
396	1137	1727
397	1139	1723
398	1142	1721
399	1150	1725
400	1154	1724
401	1157	1721
402	1159	1717
403	1164	1717
404	1166	1714
405	1169	1710
406	1171	1706
407	1173	1702
408	1176	1699
409	1180	1698
410	1182	1695
411	1185	1691
412	1187	1688
413	1190	1684
414	1192	1680
415	1195	1678
416	1197	1674
417	1199	1670
418	1201	1665
419	1203	1661
420	1205	1658
421	1209	1657
422	1211	1653
423	1213	1648
424	1215	1644
425	1217	1641
426	1219	1636
427	1224	1636
428	1226	1632
429	1228	1628
430	1230	1624
431	1232	1620
432	1234	1616
433	1238	1615
434	1240	1611
435	1242	1606
436	1244	1603
437	1246	1599
438	1248	1595
439	1250	1591
440	1253	1589
441	1256	1586
442	1259	1583
443	1261	1579
444	1263	1575
445	1265	1571
446	1268	1569
447	1270	1565
448	1272	1561
449	1274	1557
450	1277	1554
451	1283	1556
452	1286	1553
453	1288	1549
454	1292	1547
455	1294	1544
456	1298	1542
457	1300	1539
458	1302	1535
459	1304	1531
460	1306	1527
461	1308	1523
462	1310	1520
463	1313	1517
464	1315	1513
465	1317	1509
466	1319	1505
467	1321	1501
468	1323	1497
469	1326	1496
470	1328	1492
471	1330	1488
472	1332	1484
473	1334	1480
474	1336	1476
475	1338	1473
476	1342	1472
477	1344	1468
478	1346	1464
479	1348	1460
480	1350	1456
481	1352	1453
482	1353	1449
483	1357	1447
484	1360	1444
485	1362	1440
486	1364	1437
487	1366	1433
488	1368	1429
489	1372	1428
490	1374	1424
491	1376	1420
492	1378	1417
493	1380	1413
494	1382	1409
495	1383	1406
496	1387	1404
497	1389	1400
498	1391	1397
499	1393	1393
500	1395	1389
501	1397	1386
502	1399	1382
503	1402	1380
504	1404	1377
505	1407	1373
506	1409	1370
507	1410	1366
508	1412	1362
509	1416	1361
510	1418	1357
511	1421	1354
512	1423	1351
513	1425	1347
514	1427	1344
515	1431	1342
516	1433	1338
517	1435	1335
518	1437	1332
519	1439	1328
520	1441	1324
521	1443	1321
522	1446	1318
523	1448	1315
524	1450	1312
525	1452	1308
526	1454	1305
527	1456	1301
528	1459	1299
529	1462	1296
530	1463	1292
531	1465	1289
532	1468	1286
533	1469	1282
534	1471	1279
535	1475	1277
536	1477	1274
537	1479	1270
538	1482	1268
539	1485	1265
540	1487	1261
541	1490	1259
542	1492	1256
543	1494	1252
544	1496	1249
545	1498	1246
546	1500	1242
547	1503	1240
548	1506	1237
549	1508	1234
550	1510	1230
551	1513	1228
552	1516	1225
553	1521	1224
554	1523	1221
555	1525	1218
556	1527	1214
557	1529	1211
558	1531	1208
559	1534	1206
560	1537	1203
561	1539	1199
562	1541	1196
563	1543	1193
564	1545	1189
565	1549	1187
566	1551	1184
567	1553	1181
568	1555	1177
569	1557	1174
570	1559	1171
571	1561	1168
572	1564	1166
573	1566	1162
574	1568	1159
575	1570	1156
576	1572	1153
577	1574	1149
578	1576	1146
579	1580	1144
580	1582	1141
581	1584	1138
582	1588	1136
583	1590	1133
584	1594	1131
585	1596	1127
586	1598	1124
587	1600	1121
588	1602	1118
589	1604	1114
590	1606	1111
591	1609	1109
592	1611	1106
593	1613	1103
594	1615	1099
595	1617	1096
596	1619	1093
597	1623	1091
598	1626	1088
599	1628	1085
600	1629	1082
601	1631	1078
